"","1","2"
"1140","follow","us"
"1141","can","talk"
"1142","wide","receiver"
"1143","later","year"
"1144","charter","schools"
"1145","day","long"
"1146","make","good"
"1147","see","us"
"1148","working","hard"
"1149","two","decades"
"1150","board","member"
"1151","put","back"
"1152","ive","seen"
"1153","road","trip"
"1154","dont","care"
"1155","now","said"
"1156","see","soon"
"1157","answer","question"
"1158","also","used"
"1159","just","said"
"1160","tampa","bay"
"1161","still","need"
"1162","star","ledger"
"1163","can","start"
"1164","dont","really"
"1165","old","girl"
"1166","ever","get"
"1167","like","us"
"1168","said","time"
"1169","national","park"
"1170","high","quality"
"1171","like","really"
"1172","looking","back"
"1173","always","wanted"
"1174","left","right"
"1175","first","person"
"1176","press","conference"
"1177","week","ago"
"1178","last","post"
"1179","hard","find"
"1180","public","relations"
"1181","maybe","can"
"1182","george","w"
"1183","six","weeks"
"1184","washington","state"
"1185","going","start"
"1186","told","reporters"
"1187","de","mayo"
"1188","radio","show"
"1189","well","know"
"1190","one","game"
"1191","go","school"
"1192","go","way"
"1193","new","world"
"1194","one","really"
"1195","still","get"
"1196","global","warming"
"1197","also","like"
"1198","right","way"
"1199","just","went"
"1200","scored","points"
"1201","day","weekend"
"1202","decided","go"
"1203","waste","time"
"1204","walk","away"
"1205","state","officials"
"1206","medium","high"
"1207","friend","mine"
"1208","im","glad"
"1209","new","hampshire"
"1210","al","qaeda"
"1211","one","top"
"1212","something","different"
"1213","get","married"
"1214","time","last"
"1215","said","state"
"1216","lose","weight"
"1217","young","woman"
"1218","important","thing"
"1219","decided","make"
"1220","bad","thing"
"1221","can","cause"
"1222","star","wars"
"1223","may","seem"
"1224","much","money"
"1225","side","side"
"1226","rest","us"
"1227","love","life"
"1228","day","can"
"1229","working","class"
"1230","law","firm"
"1231","running","around"
"1232","best","can"
"1233","still","going"
"1234","de","la"
"1235","state","local"
"1236","things","done"
"1237","next","one"
"1238","time","got"
"1239","near","future"
"1240","help","make"
"1241","general","motors"
"1242","rock","n"
"1243","back","day"
"1244","please","please"
"1245","one","great"
"1246","know","better"
"1247","turn","around"
"1248","looking","like"
"1249","just","getting"
"1250","power","play"
"1251","take","pictures"
"1252","think","really"
"1253","nearly","years"
"1254","something","can"
"1255","can","become"
"1256","im","really"
"1257","make","decisions"
"1258","need","new"
